Customer_ID,Age_of_Buyer,Type_of_City,Average_Order_Value,Recent_Action,Time_Spent_on_App_per_Day_minutes,Email,Most_Active_Time_of_User,Recency_days,Frequency_purchases,Monetary_spend,Email_Open_Rate,Push_CTR,Coupon_Redemption_Rate,Chat_Engagement_Rate,Top_Category,Primary_Device,Locale,CLTV,Pages_per_Session,Avg_Session_Duration_min,Product_Views,Discount_Threshold_percent,Churn_Risk,Marketing_Suggestion
CUST_100000,56,Tier 1,609,not adding to cart,67,customer0@example.com,4:00 AM - 12:00 AM,347,48,17970,0.087,0.422,0.03,0.219,Sports,Tablet,en_US,2828.16,14.6,14.3,7,10,0.449,Browsing Behavior Email
CUST_100001,33,Tier 1,2815,wrote a bad review,92,customer1@example.com,5:00 AM - 4:00 PM,53,6,12549,0.097,0.847,0.604,0.807,Beauty,Desktop,de_DE,667.89,18.5,2.5,5,30,0.619,Proactive Chat Support
CUST_100002,39,Tier 2,1339,cart abandonment,174,customer2@example.com,4:00 PM - 2:00 AM,52,25,9208,0.453,0.834,0.163,0.355,Beauty,Desktop,en_US,3065.2,4.3,14.9,3,20,0.379,Push Notification Reminder
CUST_100003,56,Tier 2,5513,cart abandonment,63,customer3@example.com,1:00 PM - 7:00 PM,34,14,18685,0.876,0.315,0.655,0.396,Beauty,Desktop,en_GB,1361.16,5.7,11.7,5,30,0.585,Abandoned Cart Email
CUST_100004,53,Tier 4,6130,not visiting the app,40,customer4@example.com,9:00 PM - 2:00 AM,57,10,5342,0.792,0.422,0.064,0.382,Health,Tablet,es_ES,4856.84,17.4,1.2,2,30,0.885,Win-back Campaign
CUST_100005,33,Tier 3,2027,not adding to cart,116,customer5@example.com,3:00 PM - 1:00 PM,257,49,5954,0.508,0.106,0.625,0.842,Sports,Tablet,en_GB,806.55,15.5,11.2,9,5,0.599,First Purchase Discount
CUST_100006,47,Tier 1,2032,not adding to cart,83,customer6@example.com,4:00 AM - 4:00 AM,44,47,16024,0.816,0.978,0.533,0.126,Beauty,Desktop,de_DE,867.38,11.0,12.5,4,25,0.755,Personalized Email Recommendations
CUST_100007,28,Tier 3,6737,not adding to cart,117,customer7@example.com,9:00 PM - 2:00 AM,116,5,11178,0.021,0.554,0.588,0.007,Beauty,Tablet,en_US,1183.26,18.2,17.3,2,25,0.238,Browsing Behavior Email
CUST_100008,58,Tier 4,3710,not visiting the app,151,customer8@example.com,10:00 PM - 4:00 PM,209,13,3190,0.097,0.431,0.424,0.467,Beauty,Mobile,en_US,350.03,14.8,16.2,2,10,0.192,SMS Reactivation
CUST_100009,50,Tier 4,2496,wrote a bad review,51,customer9@example.com,5:00 PM - 4:00 AM,227,36,3308,0.051,0.999,0.836,0.969,Fashion,Mobile,fr_FR,2453.92,5.1,8.6,1,10,0.379,Proactive Chat Support
CUST_100010,40,Tier 3,7654,not adding to cart,113,customer10@example.com,12:00 PM - 3:00 AM,152,14,2016,0.579,0.542,0.748,0.057,Sports,Desktop,de_DE,4600.97,11.1,2.1,9,5,0.851,First Purchase Discount
CUST_100011,20,Tier 1,4053,wrote a bad review,35,customer11@example.com,10:00 AM - 10:00 AM,318,6,13837,0.657,0.565,0.316,0.261,Beauty,Tablet,es_ES,1231.5,8.5,13.8,5,20,0.316,Feedback Email Survey
CUST_100012,20,Tier 1,7708,cart abandonment,23,customer12@example.com,9:00 AM - 9:00 PM,68,23,2354,0.879,0.37,0.158,0.834,Beauty,Desktop,de_DE,4920.07,16.3,11.0,9,15,0.932,Abandoned Cart Email
CUST_100013,22,Tier 2,4533,cart abandonment,32,customer13@example.com,12:00 AM - 5:00 PM,310,14,11335,0.204,0.634,0.264,0.489,Electronics,Mobile,fr_FR,4155.27,1.8,7.3,3,30,0.98,Push Notification Reminder
CUST_100014,26,Tier 4,9238,wrote a bad review,148,customer14@example.com,1:00 AM - 2:00 AM,280,3,12198,0.583,0.148,0.127,0.308,Electronics,Desktop,en_GB,3426.23,13.7,7.7,9,20,0.974,Manager Follow-up Call
CUST_100015,25,Tier 2,2862,not visiting the app,110,customer15@example.com,1:00 AM - 12:00 PM,211,43,8231,0.267,0.787,0.108,0.872,Health,Mobile,en_GB,4092.1,9.7,6.8,4,10,0.024,VIP Exclusive Offer
CUST_100016,28,Tier 4,5578,not adding to cart,22,customer16@example.com,5:00 PM - 11:00 PM,348,35,10951,0.939,0.115,0.97,0.179,Home & Kitchen,Mobile,en_US,3003.03,7.6,15.9,7,25,0.984,Personalized Email Recommendations
CUST_100017,23,Tier 4,9646,not visiting the app,70,customer17@example.com,1:00 PM - 1:00 AM,187,28,2392,0.949,0.921,0.623,0.663,Electronics,Tablet,es_ES,2560.26,13.7,7.2,5,25,0.127,Re-engagement Push
CUST_100018,42,Tier 4,3051,not adding to cart,108,customer18@example.com,9:00 AM - 5:00 PM,108,28,19104,0.607,0.322,0.442,0.676,Sports,Desktop,en_GB,3311.31,6.4,13.6,10,15,0.093,Browsing Behavior Email
CUST_100019,31,Tier 3,3880,not visiting the app,42,customer19@example.com,1:00 AM - 4:00 PM,313,50,2486,0.455,0.886,0.576,0.718,Health,Desktop,fr_FR,1257.72,13.5,1.1,2,20,0.219,Re-engagement Push
CUST_100020,49,Tier 4,1022,not visiting the app,36,customer20@example.com,8:00 AM - 8:00 PM,227,40,16640,0.427,0.907,0.446,0.159,Health,Desktop,es_ES,3771.3,17.0,6.3,9,20,0.627,Re-engagement Push
CUST_100021,33,Tier 4,1469,not adding to cart,65,customer21@example.com,5:00 PM - 6:00 AM,71,10,7677,0.383,0.153,0.214,0.415,Home & Kitchen,Tablet,fr_FR,2108.08,4.9,9.0,10,30,0.02,Browsing Behavior Email
CUST_100022,52,Tier 4,8014,cart abandonment,95,customer22@example.com,5:00 PM - 7:00 AM,250,15,9043,0.436,0.029,0.336,0.679,Health,Tablet,en_GB,4210.5,18.5,19.6,9,5,0.907,Abandoned Cart Email
CUST_100023,53,Tier 1,1575,wrote a bad review,39,customer23@example.com,8:00 AM - 1:00 PM,195,21,7035,0.455,0.338,0.88,0.278,Health,Desktop,en_US,2378.02,15.2,2.0,6,10,0.65,Manager Follow-up Call
CUST_100024,57,Tier 1,708,not visiting the app,56,customer24@example.com,1:00 AM - 4:00 AM,243,43,3848,0.564,0.218,0.699,0.767,Fashion,Tablet,de_DE,4820.49,14.6,15.8,3,15,0.108,VIP Exclusive Offer
CUST_100025,17,Tier 3,9633,wrote a bad review,106,customer25@example.com,12:00 AM - 2:00 AM,53,45,9982,0.85,0.6,0.121,0.984,Electronics,Desktop,de_DE,2170.47,8.0,10.6,6,5,0.85,Proactive Chat Support
CUST_100026,47,Tier 1,7302,not adding to cart,167,customer26@example.com,8:00 AM - 7:00 AM,268,42,8950,0.616,0.92,0.775,0.465,Beauty,Tablet,es_ES,1645.41,5.7,18.8,5,20,0.244,Product Suggestion Push
CUST_100027,45,Tier 4,5711,cart abandonment,131,customer27@example.com,6:00 AM - 8:00 AM,182,17,11252,0.28,0.596,0.88,0.556,Sports,Mobile,en_US,1244.71,8.7,11.5,4,30,0.476,Discount Coupon Email
CUST_100028,47,Tier 4,482,cart abandonment,80,customer28@example.com,4:00 PM - 12:00 AM,157,43,19156,0.369,0.553,0.344,0.997,Sports,Desktop,es_ES,3529.13,6.1,5.8,2,30,0.193,Push Notification Reminder
CUST_100029,23,Tier 2,3338,not visiting the app,128,customer29@example.com,5:00 PM - 2:00 AM,152,15,11925,0.179,0.014,0.534,0.274,Electronics,Tablet,es_ES,3502.22,3.4,17.5,8,5,0.873,Win-back Campaign
CUST_100030,52,Tier 3,7890,wrote a bad review,117,customer30@example.com,6:00 AM - 1:00 PM,245,8,2241,0.401,0.074,0.629,0.054,Fashion,Tablet,es_ES,471.65,5.7,11.6,7,25,0.596,Feedback Email Survey
CUST_100031,55,Tier 2,8761,wrote a bad review,120,customer31@example.com,8:00 PM - 10:00 PM,157,37,2073,0.61,0.74,0.948,0.208,Fashion,Desktop,en_US,827.43,4.3,2.4,1,20,0.451,Feedback Email Survey
CUST_100032,54,Tier 4,4971,cart abandonment,64,customer32@example.com,5:00 PM - 12:00 PM,37,44,7748,0.924,0.788,0.625,0.661,Fashion,Desktop,en_US,2745.58,13.3,18.3,3,5,0.06,Push Notification Reminder
CUST_100033,35,Tier 3,7395,cart abandonment,124,customer33@example.com,12:00 PM - 12:00 PM,140,33,17794,0.494,0.08,0.04,0.432,Home & Kitchen,Tablet,es_ES,178.03,5.3,13.8,10,25,0.951,Abandoned Cart Email
CUST_100034,33,Tier 1,3070,wrote a bad review,137,customer34@example.com,11:00 PM - 5:00 AM,300,28,16212,0.969,0.47,0.408,0.321,Electronics,Mobile,es_ES,2087.64,10.4,13.6,7,25,0.037,Manager Follow-up Call
